Item Number	Category Name	Item Description	Vendor	Vendor Name	Bottle Volume (ml)	Pack	Inner Pack	Age	Proof	List Date	UPC	SCC	State Bottle Cost	State Case Cost	State Bottle Retail	Report Date
51202	Imported Brandies	Five Star Horse	100	AIKO IMPORTERS INC	375	6	1	0	80	03/01/2016	89105810066	618105002913	18.84	113.04	28.26	10/01/2021
77785	American Cordials & Liqueurs	Travis Hasse Cow Pie Mini	305	Mhw LTD	50	6	10	0	30	04/01/2016	89105810066	10896459002095	7.34	44.04	11.01	10/01/2021
902602	Special Order Items	Lairds Applejack	297	Laird & Company	750	12	1	0	80	12/15/2000	89105810066	10084848100303	10.67	127.95	16.01	10/01/2021
901248	Special Order Items	Blair Athol	885	YAHARA BAY DISTILLERS INC	100	6	1	0	80	04/06/2012	89105810066	10892060104425	8.99	53.92	13.49	10/01/2021
903936	Special Order Items	HA Glenkinchie 12YR	260	DIAGEO AMERICAS	750	12	1	0	86	10/10/1991	88076171459	10892060104425	41.99	503.88	62.99	10/01/2021
51326	Imported Brandies	Maraska Slivovitz	557	Worldwide Libations, LLC	750	6	1	0	80	03/01/2016	89683100061	10892060104425	14.60	87.60	21.90	10/01/2021
77786	Imported Cordials & Liqueurs	Tuaca Perfect Chill	421	SAZERAC COMPANY  INC	750	12	1	0	70	08/01/2012	88004025984	10892060104425	11.44	137.24	17.16	10/01/2021
88841	100% Agave Tequila	Hornitos Black Barrel	065	Jim Beam Brands	750	12	1	0	80	04/01/2014	80686835585	10892060104425	16.00	192.00	24.00	10/01/2021
65426	Imported Cordials & Liqueurs	Licor 43	368	Park Street Imports	750	12	1	0	62	06/01/2011	29929115411	10892060104425	14.10	169.17	21.15	10/01/2021
901265	Special Order Items	Apricot Grappa	885	YAHARA BAY DISTILLERS INC	1750	1	1	0	34	08/06/2012	29929115411	10892060105538	31.08	31.08	46.62	10/01/2021
913925	Whiskey Liqueur	McMasters Canadian Whiskey	259	Heaven Hill Brands	750	12	1	3	80	12/01/2015	29929115411	10088100402754	5.17	62.04	7.76	10/01/2021
902604	Special Order Items	Guyot Creme de Cassis Dijon	295	Kobrand Corp	750	12	1	0	60	01/01/2005	84692200047	10088100402754	15.04	180.48	22.56	10/01/2021
51506	Imported Brandies	Presidente Grape Brandy (Pedro Domecq)	479	Vin Divino Ltd	750	12	1	0	80	07/01/1985	84692200047	82422144074	8.49	101.88	12.74	10/01/2021
903939	Special Order Items	Three Olives Root Beer DISCO	395	PROXIMO	750	12	1	0	70	05/23/2008	84692200047	10089708529423	9.96	119.49	14.94	10/01/2021
903942	Special Order Items	SOOH Chartreuse Green French Liqueur	497	Fredrick Wildman & Son	750	12	1	0	110	10/21/1991	89744329615	10089708529423	31.13	373.50	46.70	10/01/2021
902608	Special Order Items	Jacquins Blackberry Brandy	285	Charles Jacquin Et Cie	750	12	1	0	70	05/01/1988	89744329615	10084380260244	6.73	80.66	10.10	10/01/2021
