Store	Name	Store Status	Address	City	State	Zip Code	Store Address	Report Date
3762	Wine and Spirits Gallery	I	7690 Hickman Rd	Windsor Heights	IA	50322	POINT (-93.72238 41.614669)	10/01/2021
5540	Casey's General Store #2447 / Sergeant Bluff	A	111 Gaul Dr	Sergeant Bluff	IA	51054	POINT (-96.352258 42.398573)	10/01/2021
8806	PIVO Brewery	I	101 Huber Drive	Calmar	IA	52132	POINT (-91.870808 43.190641)	10/01/2021
5042	Super Stop III / Dubuque	I	1101 Rhomberg Ave	Dubuque	IA	52001	POINT (-90.660269 42.519502)	10/01/2021
4582	Jiffy #926 / Spirit Lake	A	2402, 17th St	Spirit Lake	IA	51360	POINT (-95.126585 43.42282)	10/01/2021
4657	Casey's General Store #2526 / Wellsburg	A	308 N Washington	Wellsburg	IA	50680	POINT (-92.925287 42.43855)	10/01/2021
3726	Wal-Mart 1285 / Ottumwa	A	1940 Venture Dr	Ottumwa	IA	52501	POINT (-92.456896 41.01455)	10/01/2021
4308	Keystone Liquor and Wine / Coralville	I	517  2nd St Ste 2	Coralville	IA	52241	POINT (-91.574095 41.671543)	10/01/2021
4789	Katy Did's General Store	I	419 Merrill St	Bussey	IA	50044	POINT (-92.886643 41.204759)	10/01/2021
3437	Scott's Foods	I	1120 SUNSET DRIVE	Norwalk	IA	50211	POINT (-93.67803700000002 41.479944)	10/01/2021
9932	3-Oaks Distillery, LLC	I	23151 Pfeiler Road	Holy Cross	IA	53053	POINT (-90.93952300000001 42.594548)	10/01/2021
5710	Casey's #3763 -Waverly	A	1032 4th Street SW	Waverly	IA	50677	POINT (-92.475569 42.715552)	10/01/2021
4638	GD Xpress / Davenport	A	4607 N Pine St	Davenport	IA	52804	POINT (-90.610249 41.567504)	10/01/2021
5650	The Depot Williamsburg	A	103 Highland St	Williamsburg	IA	52361	POINT (-92.00735 41.664796)	10/01/2021
5124	Price Chopper  /  Johnston	I	5440 NW  86th St	Johnston	IA	50131	POINT (-93.736517 41.659057)	10/01/2021
4143	Bucky's	A	603  E HWY 24	Lawler	IA	52154	POINT (-92.14835 43.06721)	10/01/2021
5660	North Side Liquor & Tobacco / Dubuque	A	2013 Central Ave	Dubuque	IA	52001	POINT (-90.670151 42.5116)	10/01/2021
9035	Okoboji Wines	I	2302 165th St.	Spirit Lake	IA	51360	POINT (-95.131465 43.407626)	10/01/2021
4855	Casey's General Store #3200 / Strawberry Point	A	308, W Mission	Strawberry Point	IA	52076	POINT (-91.539837 42.684496)	10/01/2021
4715	Walgreens #06678 / West Des Moines	A	1999 Grand Ave	West Des Moines	IA	50265	POINT (-93.731469 41.571398)	10/01/2021
5794	Casey's General Store #1922 / Walcott	A	780 N Main St	Walcott	IA	52773	POINT (-90.774559 41.59208)	10/01/2021
4025	Karam Kaur Khasriya Llc	A	702 13th St	Belle Plaine	IA	52208	POINT (-92.277759 41.897052)	10/01/2021
3013	Keith's Foods	I	207 E Locust St	Bloomfield	IA	52537	POINT (-92.412847 40.752691)	10/01/2021
4694	Rina Mart LLC / Davenport	A	3815, West Kimberly Rd	Davenport	IA	52806	POINT (-90.631357 41.561712)	10/01/2021
0001	Sazerac Comapny Inc	I	75 Remittance Dr Ste 3312	Chicago	IL	60675		10/01/2021
4973	Quillins Quality Foods West Union	A	303, Hwy 150 N	West Union	IA	52175	POINT (-91.814402 42.965065)	10/01/2021
6145	The Depot Van Horne	A	101 1st Ave	Van Horne	IA	52346	POINT (-92.086071 42.007356)	10/01/2021
4504	JIFFY EXPRESS #921 / INDIANOLA	A	311 North Jefferson	Indianola	IA	50125		10/01/2021
4189	Fareway Stores #594 / Manchester	A	109 East Marion St	Manchester	IA	52057	POINT (-91.457225 42.48217)	10/01/2021
4369	Kum & Go #28 / Norwalk	A	2992 Sunset Dr	Norwalk	IA	50211	POINT (-93.67405100000002 41.494857)	10/01/2021
5629	The Ville	I	111 W Main St	Riceville	IA	50466	POINT (-92.555014 43.363838)	10/01/2021
5103	Curry's Express Mart	I	4804, Hwy  61 South	Muscatine	IA	52761		10/01/2021
5768	Casey's General Store #1886 / Ottumwa	A	504 W Mary St	Ottumwa	IA	52501	POINT (-92.429217 40.994753)	10/01/2021
5762	Casey's General Store #1329 / Estherville	A	8 Central Ave	Estherville	IA	51334	POINT (-94.84356 43.401909)	10/01/2021
2579	Hy-Vee Food Store / Grinnell	A	320 West Street South	Grinnell	IA	50112	POINT (-92.727343 41.7283)	10/01/2021
5359	Fareway Stores #168/ Peosta	A	8400 NICC Drive	Peosta	IA	52068		10/01/2021
6093	Casey's #2741 / Sidney	A	901 Indiana St	Sidney	IA	51652	POINT (-95.646481 40.748508)	10/01/2021
5364	Station Mart	I	3594 Lafayette Road	Evansdale	IA	50707	POINT (-92.287994 42.47724500000001)	10/01/2021
4887	Kum & Go #66 / West Des Moines	A	5308 University Ave	West Des Moines	IA	50266	POINT (-93.778685 41.60046)	10/01/2021
5497	Casey's General Store #3617 / Grinnell	A	635 Lang Creek Ave	Grinnell	IA	50112	POINT (-92.725708 41.699636)	10/01/2021
4073	Uptown Liquor, Llc	A	306 Hwy 69 South	Forest City	IA	50436	POINT (-93.633306 43.261538)	10/01/2021
3773	Benz Distributing	A	501 7th Ave SE	Cedar Rapids	IA	52401	POINT (-91.659875 41.97574)	10/01/2021
